angle,difference,,,,,,
104.25,0.204013376,,,,,,
104.5,0.243070087,,,,,,
104.75,0.287217459,,,,,,
105,0.331701136,,,,,,
105.25,0.35004136,,,,,,
105.5,0.361839598,,,,,,
105.75,0.366801689,,,,,,
106,0.364634845,,,,,,
107,0.278908372,,,,,,
107.25,0.236737946,,,,,,
107.5,0.219873791,,,,,,
107.75,0.210481449,,,,,,
108,0.206565028,,,,,,
108.25,0.207720244,,,,,,
108.5,0.213547012,,,,,,
108.75,0.223649064,,,,,,
109,0.237633585,,,,,,
110,0.324621639,,,,,,
110.25,0.352242269,,,,,,
110.5,0.381422263,,,,,,
110.75,0.411803225,,,,,,
111,0.428540327,,,,,,
111.25,0.424166047,,,,,,
111.5,0.410584822,,,,,,
111.75,0.387557665,,,,,,
112,0.354849896,,,,,,
113,0.317215218,,,,,,
113.25,0.317452265,,,,,,
113.5,0.320055093,,,,,,
113.75,0.324644418,,,,,,
114,0.33085005,,,,,,
114.25,0.338304959,,,,,,
114.5,0.346645026,,,,,,
114.75,0.355508825,,,,,,
115,0.364537419,,,,,,
116,0.395193046,,,,,,
116.25,0.399744908,,,,,,
116.5,0.402346296,,,,,,
116.75,0.40265903,,,,,,
117,0.396724913,,,,,,
117.25,0.396376106,,,,,,
117.5,0.397539733,,,,,,
117.75,0.399859775,,,,,,
118,0.402984597,,,,,,
119,0.416641269,,,,,,
119.25,0.418652467,,,,,,
119.5,0.419440724,,,,,,
119.75,0.418678679,,,,,,
120,0.416043642,,,,,,
120.25,0.411216235,,,,,,
120.5,0.403880442,,,,,,
120.75,0.393723675,,,,,,
121,0.380436898,,,,,,
121.25,0.363714787,,,,,,
121.5,0.353308103,,,,,,
121.75,0.360602537,,,,,,
122,0.37531156,,,,,,
122.25,0.396950794,,,,,,
122.5,0.425045244,,,,,,
122.75,0.439256063,,,,,,
123,0.44914518,,,,,,
123.25,0.457253674,,,,,,
123.5,0.46328061,,,,,,
123.75,0.466929176,,,,,,
124,0.467906728,,,,,,
124.25,0.465924857,,,,,,
124.5,0.460699501,,,,,,
124.75,0.451951087,,,,,,
125,0.439404703,,,,,,
125.25,0.422790315,,,,,,
125.5,0.401843006,,,,,,
125.75,0.376303259,,,,,,
126,0.362813268,,,,,,
126.25,0.358417938,,,,,,
126.5,0.359278994,,,,,,
126.75,0.364931932,,,,,,
127,0.37492258,,,,,,
127.25,0.388805419,,,,,,
127.5,0.406142983,,,,,,
127.75,0.426505311,,,,,,
128,0.449469438,,,,,,
128.25,0.46524562,,,,,,
128.5,0.470312964,,,,,,
128.75,0.470929864,,,,,,
129,0.466856028,,,,,,
129.25,0.457856941,,,,,,
129.5,0.443704175,,,,,,
129.75,0.424175746,,,,,,
130,0.399886418,,,,,,
130.25,0.387929458,,,,,,
130.5,0.379806128,,,,,,
130.75,0.375072578,,,,,,
131,0.373295006,,,,,,
131.25,0.374048431,,,,,,
131.5,0.376917519,,,,,,
131.75,0.38149481,,,,,,
132,0.387380988,,,,,,
132.25,0.394184409,,,,,,
132.5,0.401520815,,,,,,
132.75,0.409013093,,,,,,
133,0.416291092,,,,,,
133.25,0.422991486,,,,,,
133.5,0.422987898,,,,,,
133.75,0.411989707,,,,,,
134,0.399350451,,,,,,
134.25,0.393072885,,,,,,
134.5,0.388887431,,,,,,
134.75,0.386385138,,,,,,
135,0.385166778,,,,,,
135.25,0.384842446,,,,,,
135.5,0.385031232,,,,,,
135.75,0.385360941,,,,,,
136,0.385467314,,,,,,
136.25,0.384996637,,,,,,
136.5,0.38360007,,,,,,
136.75,0.380939134,,,,,,
137,0.376682909,,,,,,
137.25,0.370508622,,,,,,
137.5,0.36240756,,,,,,
137.75,0.361688293,,,,,,
138,0.366630376,,,,,,
138.25,0.375375645,,,,,,
138.5,0.382164094,,,,,,
138.75,0.388666243,,,,,,
139,0.394530629,,,,,,
139.25,0.399415019,,,,,,
139.5,0.402986332,,,,,,
139.75,0.404920629,,,,,,
140,0.404903141,,,,,,
140.25,0.402628359,,,,,,
140.5,0.39780016,,,,,,
140.75,0.390218047,,,,,,
141,0.385523767,,,,,,
141.25,0.385549067,,,,,,
141.5,0.38976231,,,,,,
141.75,0.39765007,,,,,,
142,0.408713339,,,,,,
142.25,0.422466851,,,,,,
142.5,0.439582681,,,,,,
142.75,0.456991381,,,,,,
143,0.471653801,,,,,,
143.25,0.483263336,,,,,,
143.5,0.491519763,,,,,,
143.75,0.501540386,,,,,,
144,0.52104618,,,,,,
144.25,0.546410024,,,,,,
144.5,0.577350617,,,,,,
144.75,0.613624028,,,,,,
145,0.655024073,,,,,,
