t,diameter,height,angle
329000,40.78730409,19.07460787,83.48612819
330000,40.79202727,19.09175404,83.49420326
331000,40.79670341,19.10884294,83.50436054
332000,40.80090125,19.1258746,83.51941894
333000,40.80508991,19.1428494,83.5342598
334000,40.80931048,19.15976731,83.54900523
335000,40.81357749,19.17662806,83.56369361
336000,40.81789836,19.19343187,83.5783417
337000,40.82227743,19.21017944,83.5929571
338000,40.82671743,19.22687183,83.60754258
339000,40.83122017,19.24351031,83.62209813
340000,40.83578689,19.26009623,83.63662206
341000,40.84041848,19.27663101,83.65111159
342000,40.8451156,19.29311607,83.66556324
343000,40.84987873,19.30955283,83.6799731
344000,40.85470828,19.32594269,83.69433697
345000,40.85960459,19.34228706,83.70865046
346000,40.86456793,19.3585873,83.72290906
347000,40.86959858,19.37484476,83.73710821
348000,40.87467578,19.39106077,83.75155273
349000,40.87943661,19.40723665,83.76962148
350000,40.8841921,19.42337378,83.78736709
351000,40.88897798,19.43947333,83.80490348
352000,40.89380585,19.45553618,83.82226341
353000,40.89868204,19.47156328,83.83946251
354000,40.90361065,19.48755581,83.85650916
355000,40.90859464,19.50351511,83.87340786
356000,40.91363625,19.51944259,83.89016073
357000,40.91873728,19.53533968,83.90676834
358000,40.92389925,19.55120779,83.92323014
359000,40.92912345,19.56704834,83.93954485
360000,40.93441103,19.58286267,83.95571057
361000,40.93976303,19.59865212,83.97172499
362000,40.94518043,19.61441797,83.98758545
363000,40.95058145,19.63016148,84.00438988
364000,40.95556061,19.64588388,84.02533872
365000,40.96052311,19.66158647,84.04578478
366000,40.96550879,19.67727027,84.0658672
367000,40.97053239,19.69293589,84.08563385
368000,40.97560232,19.70858406,84.10510993
369000,40.98072421,19.72421583,84.12431052
370000,40.98590218,19.73983241,84.1432451
371000,40.99113948,19.75543513,84.16191959
372000,40.99643875,19.77102533,84.1803375
373000,41.00180228,19.78660438,84.19850064
374000,41.00723205,19.80217358,84.21640955
375000,41.01272987,19.8177342,84.23406377
376000,41.01826578,19.83328749,84.25193602
377000,41.02309535,19.84883463,84.27716223
378000,41.02785893,19.86437691,84.30149367
379000,41.03263136,19.87991539,84.32521404
380000,41.03743577,19.8954504,84.348417
381000,41.04228489,19.91098237,84.37115172
382000,41.04718707,19.92651213,84.39344848
383000,41.05214841,19.94204083,84.41532714
384000,41.05717368,19.9575698,84.43680106
385000,41.06226677,19.97310041,84.45787918
386000,41.06743104,19.98863405,84.47856725
387000,41.07266946,20.00424533,84.4988687
388000,41.0767087,20.02002849,84.53218346
389000,41.08041976,20.03576623,84.56523684
390000,41.08410507,20.05146006,84.59706893
391000,41.08780587,20.06711009,84.62795106
392000,41.0915431,20.08271635,84.65801906
393000,41.09532991,20.0982796,84.68735623
394000,41.09917549,20.11380119,84.71601834
395000,41.10308683,20.12928282,84.74404436
396000,41.10377767,20.14472632,84.8080361
397000,41.10205765,20.16013388,84.88262238
398000,41.10046014,20.17550851,84.9491523
399000,41.09778548,20.19084865,85.0282011
400000,40.72340277,20.20615099,88.7374885
401000,40.66042895,20.22147603,88.56726223
402000,40.62815148,20.23678289,88.47285929
403000,40.60541717,20.25174323,88.42098237
404000,40.58909858,20.2663958,88.37998627
405000,40.57692776,20.28092343,88.34726514
406000,40.56763351,20.29548046,88.32109091
407000,40.56043465,20.3101637,88.30022613
408000,40.55481918,20.3250236,88.2837397
409000,40.550436,20.34007994,88.27091051
410000,40.54703583,20.35533392,88.26116879
411000,40.5444366,20.37077633,88.2540569
412000,40.54247928,20.38639265,88.24950725
413000,40.54097082,20.40216613,88.24782231
414000,40.53999144,20.41807962,88.24707674
415000,40.53949112,20.43411649,88.24718776
416000,40.53941985,20.45026114,88.2480659
417000,40.53973376,20.46649938,88.24962916
418000,40.54027965,20.48281852,88.25305644
419000,40.54103882,20.49920732,88.25764188
420000,40.54202614,20.51565589,88.26297788
421000,40.54322367,20.5321554,88.26898278
422000,40.5446149,20.54869803,88.27557949
423000,40.54618533,20.56527691,88.28269851
424000,40.54792234,20.58188608,88.29027778
425000,40.54981494,20.59852037,88.29826188
426000,40.55185356,20.61517532,88.30660134
427000,40.55402983,20.63184708,88.31525191
428000,40.55633642,20.64853235,88.32417393
429000,40.55876691,20.66522833,88.33333183
430000,40.56131561,20.68193263,88.3426936
431000,40.56397752,20.69864324,88.35223041
432000,40.56674822,20.71535849,88.36191625
433000,40.56962378,20.73207701,88.37172759
434000,40.57260073,20.74879769,88.38164313
435000,40.57567596,20.76551963,88.39164354
436000,40.57884671,20.78224218,88.40171126
437000,40.58211051,20.79896484,88.41183032
438000,40.58546515,20.81568728,88.42198614
439000,40.58890867,20.83240932,88.43216542
440000,40.59243928,20.84913091,88.44235602
441000,40.59605539,20.86585211,88.4525468
442000,40.59975556,20.88257307,88.46272759
443000,40.6035385,20.89929406,88.47288901
444000,40.60740303,20.9160154,88.48302249
445000,40.6113481,20.93273749,88.49312012
446000,40.61525852,20.9494608,88.50463472
447000,40.61879612,20.96618585,88.51989163
448000,40.62234156,20.98291329,88.53470888
449000,40.62592747,20.99964375,88.5492329
450000,40.62956586,21.01664456,88.56351221
451000,40.63326329,21.03359447,88.57757143
452000,40.63702388,21.05048785,88.59142495
453000,40.64085046,21.06732573,88.60508174
454000,40.64474508,21.08410927,88.61854753
455000,40.64870924,21.10083973,88.63182605
456000,40.65274411,21.1175184,88.64491968
457000,40.6568506,21.1341466,88.65782994
458000,40.66102945,21.15072562,88.67055776
459000,40.66528122,21.16725678,88.68310365
460000,40.6696064,21.18374136,88.69546789
461000,40.67400535,21.20018062,88.70765059
462000,40.6784784,21.2165758,88.71965174
463000,40.68302579,21.23292814,88.7314713
464000,40.68764771,21.24923885,88.74310921
465000,40.69214235,21.2655091,88.75707628
466000,40.69610793,21.28174008,88.77572331
467000,40.70006856,21.29793307,88.79353014
468000,40.70406742,21.31408922,88.8107332
469000,40.70812094,21.33020917,88.8274237
470000,40.71223827,21.34629358,88.84365377
471000,40.71642524,21.36234331,88.85945816
472000,40.72068587,21.37835947,88.87486202
473000,40.72502308,21.39434333,88.88988453
474000,40.72943902,21.4102962,88.9045409
475000,40.73393531,21.42621947,88.91884364
476000,40.7385132,21.44211449,88.93280327
477000,40.74317364,21.45798261,88.94642888
478000,40.74791737,21.47382512,88.95972849
479000,40.75274494,21.48964331,88.9727093
480000,40.75765674,21.5054384,88.98537786
481000,40.76265306,21.52121157,88.99774024
482000,40.7670669,21.53696399,89.01718294
483000,40.77105859,21.55269681,89.03881243
484000,40.77507697,21.56841134,89.05919133
485000,40.77915863,21.58410846,89.07861232
486000,40.78331975,21.59978851,89.09721106
487000,40.78756956,21.61545194,89.11507171
488000,40.79191388,21.63109954,89.13225372
489000,40.79635659,21.64673237,89.14880223
490000,40.80090028,21.66235166,89.16475327
491000,40.80554671,21.67795873,89.1801367
492000,40.81029703,21.69355492,89.19497799
493000,40.81515195,21.70914157,89.20929942
494000,40.82011182,21.72471997,89.22312085
495000,40.82517674,21.74029138,89.23646029
496000,40.83034658,21.75585698,89.24933426
497000,40.83459813,21.77141792,89.27294866
498000,40.83822963,21.78697536,89.29964774
499000,40.84191264,21.80253067,89.32409892
500000,40.84571319,21.81808465,89.34677444
501000,40.84964815,21.83363728,89.36799215
502000,40.85372604,21.84918868,89.38793895
503000,40.85795146,21.86473941,89.40674391
504000,40.86232675,21.88029049,89.42450482
505000,40.86685275,21.89584316,89.44130023
506000,40.87152928,21.91139883,89.45719587
507000,40.87635547,21.92695893,89.47224846
508000,40.88132989,21.94252488,89.48650808
509000,40.88645072,21.95809804,89.50001982
510000,40.8905165,21.9736797,89.52609925
511000,40.8932952,21.98927111,89.56156895
512000,40.89586555,22.00496031,89.59538284
513000,40.89863603,22.02081748,89.62536491
514000,40.90171558,22.03663385,89.65175871
515000,40.90511968,22.05240897,89.6751523
516000,40.90884039,22.06814298,89.69603226
517000,40.91286513,22.08383683,89.71475824
518000,40.91718065,22.09949202,89.73160395
519000,40.92177353,22.1151104,89.74678958
520000,40.92617369,22.13069389,89.76585197
521000,40.92934177,22.14624439,89.79701889
522000,40.93165744,22.16176388,89.83365706
523000,40.9336635,22.1772543,89.87033016
524000,40.93580129,22.19271665,89.9036531
525000,40.93837753,22.20815094,89.93184449
526000,40.9415781,22.22355691,89.9542444
527000,40.94548841,22.23893463,89.97097059
528000,40.95011307,22.25428484,89.98267091
529000,40.95539698,22.26960896,89.99030482
530000,40.9612491,22.28490889,89.9949316
531000,40.96756594,22.3001868,89.99752888
532000,40.97425025,22.3154449,89.99887725
533000,40.98122166,22.33068526,89.9995245
534000,40.98841965,22.34590966,89.99981204
535000,40.99580119,22.36111953,89.99993048
536000,41.00333653,22.37631596,89.99997582
537000,41.01100492,22.39149968,89.99999199
538000,41.01879144,22.40667118,89.99999739
539000,41.02668487,22.42183072,89.99999908
540000,41.03467638,22.43697845,89.99999959
541000,41.0427588,22.45211442,89.99999973
542000,41.05092611,22.46723863,89.99999978
543000,41.05917317,22.48235109,89.99999979
544000,41.06749556,22.49745182,89.9999998
545000,41.07588938,22.51254086,89.99999981
546000,41.08435118,22.52761829,89.99999981
547000,41.09287791,22.54268422,89.99999982
548000,41.10146681,22.55773884,89.99999982
549000,41.1101154,22.57278233,89.99999982
550000,41.1188214,22.58781495,89.99999982
551000,41.12758275,22.60283699,89.99999982
552000,41.13639757,22.61784878,89.99999983
553000,41.14526412,22.63285068,89.99999983
554000,41.15418079,22.64784309,89.99999983
555000,41.16314608,22.66282645,89.99999983
556000,41.17215863,22.67780121,89.99999983
557000,41.18121714,22.69276785,89.99999982
558000,41.19032042,22.7077269,89.99999982
559000,41.19946735,22.72267887,89.99999982
560000,41.20865687,22.73762432,89.99999982
561000,41.21788801,22.75256383,89.99999981
562000,41.22715983,22.76749798,89.99999981
563000,41.23647147,22.78242738,89.9999998
564000,41.2458221,22.79735263,89.9999998
565000,41.25521095,22.81227439,89.99999979
566000,41.26463728,22.82719328,89.99999978
567000,41.27410041,22.84210995,89.99999977
568000,41.28359968,22.85702508,89.99999975
569000,41.29313445,22.87193932,89.99999974
570000,41.30270415,22.88685336,89.99999972
571000,41.3123082,22.90176788,89.9999997
572000,41.32194607,22.91668357,89.99999967
573000,41.33161725,22.93160112,89.99999963
574000,41.34132125,22.94652124,89.99999959
575000,41.35105761,22.96144463,89.99999952
576000,41.36082588,22.97637199,89.99999944
577000,41.37062563,22.99130404,89.99999932
578000,41.38045647,23.00635172,89.99999914
579000,41.39031801,23.02152467,89.99999887
580000,41.40020988,23.03665591,89.99999842
581000,41.41013175,23.05174634,89.99999761
582000,41.42008331,23.06679681,89.99999601
583000,41.43006435,23.08180819,89.99999255
584000,41.44007488,23.09678135,89.99998403
585000,41.45011566,23.11171714,89.99996009
586000,41.46019029,23.12661642,89.99988196
587000,41.47031495,23.14148004,89.99958238
588000,41.48057096,23.15630886,89.99821655
589000,41.49143951,23.17110372,89.99070612
590000,41.50645011,23.18586545,89.93899459
591000,41.56112973,23.20059477,89.45500388
592000,41.64369931,23.21529169,88.91381131
593000,41.68712683,23.22994637,88.78008823
594000,41.7241895,23.2445531,88.68081351
595000,41.75781641,23.25915215,88.5925965
596000,41.79197638,23.27377306,88.48973616
597000,41.82274639,23.28841899,88.41978843
598000,41.85341052,23.3030777,88.34128577
599000,41.88524517,23.31773422,88.24863254
600000,41.91350488,23.33237457,88.19616932
601000,41.94097701,23.34698594,88.14154836
602000,41.96859627,23.36155936,88.08162479
603000,41.99681756,23.37608833,88.01460224
604000,42.02579466,23.39056665,87.94596762
605000,42.05290427,23.40498903,87.89504055
606000,42.07856114,23.41935195,87.85437397
607000,42.10280244,23.43365439,87.82282752
608000,42.12569451,23.44789619,87.79931116
609000,42.14731952,23.46207703,87.78282686
610000,42.16616379,23.47619635,87.79022785
611000,42.18254886,23.4902535,87.80946879
612000,42.19818142,23.50424833,87.82723321
613000,42.21329518,23.51818115,87.84387857
614000,42.22801259,23.53205115,87.8596035
615000,42.24241267,23.54585735,87.87454182
616000,42.25655136,23.55959959,87.88879157
617000,42.27047058,23.57327881,87.90242819
618000,42.28420286,23.58689691,87.91551172
619000,42.29777417,23.60045649,87.9280911
620000,42.31120563,23.61396062,87.94020703
621000,42.32451475,23.62741266,87.95189384
622000,42.33771622,23.64081613,87.96318091
623000,42.35082254,23.65417456,87.97409368
624000,42.36384444,23.66749147,87.98465433
625000,42.37679123,23.6807703,87.99488243
626000,42.38876401,23.69401437,88.01538314
627000,42.39920051,23.70722684,88.04574071
628000,42.40939553,23.72041094,88.07403638
629000,42.41946687,23.73357015,88.10075806
630000,42.42946612,23.74670688,88.12615021
631000,42.43942322,23.75982275,88.15037373
632000,42.44935776,23.77291925,88.17354674
633000,42.45928353,23.78599812,88.19576146
634000,42.46921066,23.79906134,88.21709281
635000,42.47914687,23.81211109,88.23760335
636000,42.48870094,23.82514965,88.2622334
637000,42.49722565,23.83817935,88.29428199
638000,42.50566183,23.85120256,88.32428667
639000,42.51408856,23.8642219,88.35270463
640000,42.52253716,23.87723947,88.37975436
641000,42.53102468,23.89025678,88.40558073
642000,42.53956161,23.90327521,88.43029175
643000,42.54815483,23.91629623,88.45397325
644000,42.55680902,23.92932143,88.4766962
645000,42.56552742,23.94235253,88.49852093
646000,42.57338291,23.95539128,88.52929698
647000,42.58101334,23.9684394,88.55928887
648000,42.58867037,23.98149883,88.58759829
649000,42.59638769,23.99457142,88.61448044
650000,42.60418103,24.007793,88.64008949
651000,42.61205902,24.02109596,88.66453675
652000,42.6200267,24.0343782,88.68790954
653000,42.62808698,24.04764083,88.71027983
654000,42.63624148,24.06088508,88.73170885
655000,42.64444539,24.07411222,88.75292331
656000,42.65152555,24.08732352,88.78538643
657000,42.65852392,24.10052025,88.81556512
658000,42.66558749,24.11370391,88.84385284
659000,42.67274743,24.12687583,88.87054402
660000,42.68001797,24.14003673,88.89581782
661000,42.68740636,24.15318707,88.91980334
662000,42.69491626,24.16632737,88.9426016
663000,42.70254923,24.17945829,88.96429576
664000,42.71030553,24.19258065,88.98495662
